code,domain,domain_title,family,family_title,title,framework_citations,description,word_count,REVIEWED_BY,EDITED_DESCRIPTION
HRS-03.2,HRS,Human Resources Security,HRS-03,Termination,Return of assets on exit,ISO27001 A.5.11,"All organisational assets issued to personnel, including devices, credentials, tokens and documents, are identified and returned or recovered as part of the exit process, and return is recorded.",28,,
IAM-03.2,IAM,Identity & Access Management,IAM-03,Authorisation,Privileged access management,SOC2 CC6.1 ; ISO27001 A.8.2,"Privileged accounts are inventoried, restricted to personnel with a demonstrated need, issued separately from standard accounts, and their use is logged and monitored.",23,,
NET-03.2,NET,Network Security,NET-03,Data Movement,Web and content filtering,ISO27001 A.8.23,"Outbound web and content access is filtered against categories and reputation to reduce exposure to malicious and prohibited destinations, with the policy documented and bypasses controlled.",26,,
PRI-03.2,PRI,Privacy & Data Protection,PRI-03,Privacy Governance,Data protection impact assessment,DPDPA S.10(2)(c),"A data protection impact assessment is performed for processing likely to result in high risk to data principals, documenting the risks identified and the mitigations applied before processing begins.",29,,
GOV-03.3,GOV,"Governance, Risk & Compliance",GOV-03,Compliance Obligations,Internal audit programme,ISO27001 A.5.36 ; DPDPA S.10(2)(b),"An internal audit programme covering the information security management system is planned, executed by competent and impartial auditors, and its findings reported to management and remediated.",26,,
IAM-03.3,IAM,Identity & Access Management,IAM-03,Authorisation,Segregation of duties,SOC2 CC5.2 ; ISO27001 A.5.3,"Duties that could allow a single individual to initiate and conceal an unauthorised action are identified and separated between individuals, with compensating controls documented where separation is impractical.",28,,
AST-03.3,AST,Asset & Information Management,AST-03,Retention & Disposal,Secure disposal of media and equipment,SOC2 CC6.5 ; ISO27001 A.7.14,"Media and equipment are securely sanitised or physically destroyed before disposal, transfer or reuse, using a method appropriate to the classification of the data held, with a certificate or record retained.",31,,
TPR-03.3,TPR,Third-Party Risk Management,TPR-03,Ongoing Oversight,Vendor offboarding and data return,,"At the end of a vendor relationship, access is revoked, organisational data is returned or destroyed, and confirmation of destruction is obtained and retained.",24,,
PRI-03.3,PRI,Privacy & Data Protection,PRI-03,Privacy Governance,Record of processing activities,DPDPA S.8(1),"A record of processing activities is maintained describing the categories of personal data, purposes, recipients, retention periods, transfers and security measures, and is kept current.",25,,
PRI-03.4,PRI,Privacy & Data Protection,PRI-03,Privacy Governance,Cross-border transfer controls,ISO27001 A.5.14,"Transfers of personal data outside the jurisdiction are identified, permitted only to destinations allowed by applicable law or contract, and supported by appropriate safeguards and records.",26,,
PRI-03.5,PRI,Privacy & Data Protection,PRI-03,Privacy Governance,Purpose limitation and minimisation,SOC2 P3.1 ; DPDPA S.4 ; DPDPA S.8(2),"Personal data is collected and processed only for specified lawful purposes and limited to what is necessary for those purposes, with collection reviewed to remove data no longer required.",29,,
GOV-04.1,GOV,"Governance, Risk & Compliance",GOV-04,ISMS Management System,Organisational context,ISO27001 4.1,"Internal and external issues relevant to the organisation's purpose that affect its ability to achieve information security outcomes are determined, documented and reviewed for change.",25,,
IAM-04.1,IAM,Identity & Access Management,IAM-04,Access Review,Periodic user access review,SOC2 CC6.3 ; ISO27001 A.5.18,"User access rights are reviewed by system or data owners at a defined interval, with the reviewer confirming each entitlement remains appropriate and removals actioned and evidenced.",27,,
IAM-04.2,IAM,Identity & Access Management,IAM-04,Access Review,Privileged access recertification,SOC2 CC6.3 ; ISO27001 A.8.2,"Privileged entitlements are recertified at a defined interval more frequent than standard access review, with each privileged account confirmed as still required or removed.",24,,
GOV-04.2,GOV,"Governance, Risk & Compliance",GOV-04,ISMS Management System,Interested parties and requirements,ISO27001 4.2,"Interested parties relevant to information security are identified together with their requirements, including legal, regulatory and contractual expectations, and these are kept current.",23,,
GOV-04.3,GOV,"Governance, Risk & Compliance",GOV-04,ISMS Management System,ISMS scope definition,ISO27001 4.3,"The scope and boundaries of the information security management system are documented, including the locations, business units, systems and interfaces included and any justified exclusions.",25,,
GOV-04.4,GOV,"Governance, Risk & Compliance",GOV-04,ISMS Management System,"Resources, competence and awareness",ISO27001 7.1 ; ISO27001 7.2,"The resources, competencies and awareness needed to operate the information security programme are determined and provided, with competence evidenced by qualifications, training or experience records.",25,,
GOV-04.5,GOV,"Governance, Risk & Compliance",GOV-04,ISMS Management System,Performance monitoring and measurement,ISO27001 9.1,"Information security performance and control effectiveness are monitored using defined metrics, with the method, frequency and responsible party documented, and results retained as evidence.",24,,
GOV-04.6,GOV,"Governance, Risk & Compliance",GOV-04,ISMS Management System,ISMS performance reporting,ISO27001 9.3,"Information security performance results, including metric trends, incidents, audit findings and risk status, are reported to management at a defined interval in a documented form.",25,,
GOV-04.7,GOV,"Governance, Risk & Compliance",GOV-04,ISMS Management System,Continual improvement,ISO27001 10.1,"The suitability, adequacy and effectiveness of the information security programme are continually improved, with improvement actions recorded, owned and tracked to completion.",22,,
GOV-04.8,GOV,"Governance, Risk & Compliance",GOV-04,ISMS Management System,Nonconformity and corrective action,ISO27001 10.2,"Nonconformities are recorded, their root cause determined, corrective action taken and its effectiveness verified, with the nature of the nonconformity and the outcome retained as evidence.",26,,
